Trade_Date,Stock,Quantity,Price,Trade_Type
2005-06-07,GOOGL,25.0,296.1332229764703,SELL
2008-03-10,GOOGL,50.0,1287.615078660282,SELL
2021-08-25,AAPL,10.0,1291.844776074836,BUY
2013-03-13,MSFT,10.0,847.886192667285,BUY
2008-11-07,AAPL,10.0,422.9987292968231,BUY
2003-09-09,GOOGL,10.0,144.98569050777004,SELL
2006-05-09,MSFT,50.0,1287.615078660282,SELL
2013-11-11,GOOGL,50.0,1370.5049912098395,BUY
2001-01-23,GOOGL,25.0,881.6425318973613,SELL
2002-05-22,AAPL,50.0,469.4900503871553,SELL
2008-12-17,AAPL,100.0,158.6575391318102,SELL
2003-12-17,MSFT,25.0,214.16244799432383,BUY
2011-04-13,GOOGL,25.0,186.97707567858555,BUY
2013-03-28,GOOGL,50.0,231.3402849466228,SELL
2004-03-05,MSFT,25.0,991.9630669125175,BUY
2021-10-22,AAPL,50.0,770.3708765006643,BUY
2005-11-08,MSFT,10.0,300.1234993455949,BUY
2007-01-16,AAPL,50.0,1418.1099559483628,SELL
2007-11-02,GOOGL,25.0,1405.5392431869848,SELL
2021-09-30,GOOGL,10.0,930.8226970812324,SELL
2010-06-03,MSFT,100.0,126.19736282569396,BUY
2012-09-05,GOOGL,50.0,1276.064015004278,SELL
2021-10-01,AAPL,50.0,158.6575391318102,SELL
2004-10-06,GOOGL,10.0,770.3708765006643,BUY
2024-02-26,GOOGL,10.0,1169.6754410803278,BUY
2015-01-28,AAPL,25.0,1427.0833933513245,SELL
2005-02-24,GOOGL,100.0,881.6425318973613,BUY
2000-07-14,GOOGL,100.0,228.368877092048,SELL
2018-11-19,AAPL,50.0,1237.63155540647,SELL
2020-09-08,MSFT,25.0,243.57707337832,SELL
2024-05-27,MSFT,25.0,1038.1476580225103,SELL
2022-10-25,AAPL,50.0,1148.487264612295,SELL
2010-01-21,MSFT,50.0,404.98695590343385,BUY
2000-02-01,MSFT,50.0,668.0647738535729,BUY
2022-09-12,MSFT,10.0,1418.1099559483628,BUY
2005-06-06,GOOGL,100.0,453.1778172311366,BUY
2008-10-29,GOOGL,10.0,1038.1476580225103,SELL
2015-12-14,AAPL,25.0,1342.6989918266363,SELL
2004-02-20,MSFT,50.0,160.29830748547027,SELL
2015-01-20,AAPL,25.0,469.4900503871553,SELL
2009-07-10,AAPL,10.0,173.2066279332344,BUY
2008-01-17,GOOGL,50.0,607.8358483226,SELL
2006-07-03,MSFT,25.0,1096.719753225942,SELL
2002-11-12,GOOGL,50.0,300.1234993455949,BUY
2010-09-03,GOOGL,100.0,1148.487264612295,BUY
2005-02-17,GOOGL,25.0,804.5966122789695,SELL
2020-01-15,AAPL,25.0,1133.6586330898024,BUY
2024-05-07,MSFT,10.0,1287.615078660282,SELL
2013-12-04,MSFT,100.0,770.3708765006643,BUY
2003-07-21,AAPL,50.0,296.1332229764703,BUY
2007-12-12,AAPL,50.0,316.07493851827894,BUY
2018-03-14,AAPL,100.0,333.99689090145625,BUY
2003-08-04,GOOGL,25.0,735.8066231758892,SELL
2024-03-07,AAPL,10.0,435.9958273632371,SELL
2012-01-18,GOOGL,100.0,448.4842216703452,SELL
2010-09-23,MSFT,50.0,931.8194496740128,SELL
2010-07-07,GOOGL,10.0,228.368877092048,BUY
2004-01-20,GOOGL,25.0,1441.118817521367,SELL
2015-06-17,AAPL,100.0,316.07493851827894,BUY
2012-04-02,AAPL,50.0,126.19736282569396,BUY
2014-04-14,GOOGL,25.0,173.2066279332344,SELL
2001-06-20,MSFT,25.0,1370.5049912098395,SELL
2005-09-29,MSFT,100.0,931.8194496740128,BUY
2022-05-09,MSFT,10.0,668.0647738535729,BUY
2007-02-23,GOOGL,10.0,404.98695590343385,BUY
2015-12-14,MSFT,10.0,435.9958273632371,BUY
2001-01-26,MSFT,25.0,158.6575391318102,SELL
2008-06-25,AAPL,50.0,481.2818403816336,BUY
2011-08-01,AAPL,10.0,931.1743046274764,SELL
2004-04-26,MSFT,25.0,783.4707780217186,BUY
2004-12-10,MSFT,100.0,1427.0833933513245,SELL
2021-03-24,MSFT,10.0,599.1634444466727,BUY
2016-02-01,MSFT,25.0,404.98695590343385,SELL
2020-04-21,AAPL,25.0,300.1234993455949,BUY
2018-08-21,AAPL,25.0,228.368877092048,SELL
2018-04-02,GOOGL,50.0,881.6425318973613,BUY
2012-01-04,AAPL,25.0,905.4261586463604,BUY
2008-09-17,GOOGL,25.0,683.2019299875964,BUY
2014-02-25,AAPL,25.0,333.96179497891234,BUY
2018-03-29,AAPL,50.0,668.0647738535729,SELL
2021-04-30,GOOGL,100.0,593.6157877532188,SELL
2017-06-28,GOOGL,100.0,1133.6586330898024,BUY
2010-09-30,AAPL,50.0,126.19736282569396,BUY
2023-12-01,AAPL,10.0,607.8358483226,BUY
2018-01-02,GOOGL,50.0,599.1634444466727,SELL
2013-09-02,MSFT,100.0,1299.0543122967472,BUY
2006-08-30,AAPL,100.0,783.4707780217186,SELL
2011-11-16,AAPL,10.0,404.98695590343385,SELL
2020-04-21,AAPL,25.0,1050.7694626054115,SELL
2011-11-16,GOOGL,100.0,1291.844776074836,BUY
2020-04-29,MSFT,10.0,931.8194496740128,SELL
2004-11-01,GOOGL,25.0,1096.719753225942,BUY
2017-08-29,MSFT,25.0,1299.0543122967472,SELL
2019-09-05,MSFT,50.0,974.2747358037312,BUY
2009-06-26,GOOGL,100.0,243.57707337832,BUY
2011-11-24,MSFT,25.0,931.8194496740128,SELL
2006-05-30,GOOGL,100.0,599.1634444466727,BUY
2014-05-29,GOOGL,100.0,1169.6754410803278,SELL
2002-09-16,MSFT,100.0,689.9943531209287,BUY
2016-11-29,GOOGL,50.0,300.1234993455949,SELL
2015-01-09,AAPL,50.0,1050.7694626054115,SELL
2002-05-06,MSFT,25.0,974.2747358037312,SELL
2012-02-15,GOOGL,10.0,1273.618802745644,BUY
2017-06-28,AAPL,10.0,1273.618802745644,BUY
2012-05-03,GOOGL,10.0,316.07493851827894,BUY
2014-02-06,GOOGL,50.0,539.5856611230623,BUY
2018-01-26,MSFT,10.0,689.9943531209287,SELL
2002-12-04,MSFT,50.0,599.1634444466727,BUY
2011-01-28,GOOGL,25.0,144.98569050777004,SELL
2003-08-04,MSFT,10.0,1133.6586330898024,BUY
2024-07-10,GOOGL,50.0,186.97707567858555,BUY
2020-08-18,GOOGL,100.0,770.3708765006643,SELL
2014-05-05,GOOGL,25.0,1287.615078660282,SELL
2009-02-09,AAPL,100.0,599.1634444466727,BUY
2024-09-13,MSFT,25.0,214.16244799432383,BUY
2007-04-05,GOOGL,50.0,469.4900503871553,BUY
2020-08-10,GOOGL,50.0,333.96179497891234,SELL
2009-10-30,MSFT,10.0,905.4261586463604,SELL
2021-10-07,MSFT,100.0,1075.564040749409,BUY
2012-07-19,MSFT,50.0,143.06390607550202,BUY
2014-10-14,GOOGL,50.0,599.1634444466727,SELL
2008-11-19,MSFT,50.0,214.16244799432383,SELL
2009-12-31,AAPL,25.0,847.886192667285,SELL
2015-10-30,AAPL,50.0,905.4261586463604,SELL
2012-01-19,AAPL,100.0,1148.487264612295,SELL
2008-08-14,GOOGL,10.0,316.07493851827894,SELL
2007-04-27,MSFT,50.0,435.9958273632371,BUY
2006-05-15,MSFT,10.0,847.886192667285,SELL
2010-07-21,GOOGL,50.0,931.1743046274764,SELL
2024-08-02,AAPL,100.0,1370.5049912098395,SELL
2011-06-30,AAPL,50.0,1169.6754410803278,BUY
2021-04-19,MSFT,10.0,824.1571029472392,BUY
2002-02-13,MSFT,50.0,1050.7694626054115,BUY
2003-09-03,GOOGL,100.0,1287.615078660282,SELL
2020-06-02,AAPL,50.0,469.4900503871553,BUY
2004-02-11,GOOGL,10.0,316.07493851827894,SELL
2008-09-12,MSFT,100.0,675.6923181782481,BUY
2021-04-19,GOOGL,100.0,991.9630669125175,BUY
2024-10-03,AAPL,10.0,1113.309506043852,SELL
2010-12-27,MSFT,10.0,1370.5049912098395,BUY
2012-01-30,MSFT,25.0,683.2019299875964,SELL
2024-09-12,GOOGL,10.0,599.1634444466727,BUY
2006-01-03,GOOGL,25.0,237.3399083632746,SELL
2022-02-01,MSFT,25.0,144.98569050777004,BUY
2021-09-08,AAPL,10.0,593.6157877532188,BUY
2001-04-10,GOOGL,25.0,96.5891278330169,SELL
2004-01-09,AAPL,50.0,144.98569050777004,BUY
2017-01-27,GOOGL,50.0,144.98569050777004,SELL
2000-09-08,GOOGL,50.0,186.97707567858555,SELL
2007-03-22,MSFT,25.0,123.02245972476892,BUY
2000-02-02,AAPL,100.0,160.29830748547027,BUY
2014-12-30,GOOGL,100.0,1113.309506043852,BUY
2019-01-30,AAPL,25.0,539.5856611230623,BUY
2016-04-29,MSFT,10.0,905.4261586463604,SELL
2000-08-09,AAPL,10.0,950.2313129859264,BUY
2003-12-31,AAPL,50.0,860.7288311536284,BUY
2005-03-04,AAPL,50.0,481.2818403816336,SELL
2018-04-17,AAPL,50.0,404.98695590343385,BUY
2024-04-30,MSFT,10.0,1096.719753225942,SELL
2016-02-22,GOOGL,100.0,931.1743046274764,SELL
2005-10-07,AAPL,10.0,770.3708765006643,SELL
2000-06-22,GOOGL,25.0,134.508137471393,SELL
2017-09-13,GOOGL,25.0,847.886192667285,SELL
2016-10-21,AAPL,10.0,1418.1099559483628,SELL
2017-02-02,MSFT,100.0,804.5966122789695,BUY
2013-03-07,MSFT,10.0,970.3834283425882,BUY
2006-11-21,MSFT,10.0,931.8194496740128,SELL
2006-03-09,MSFT,10.0,126.19736282569396,SELL
2013-09-30,MSFT,25.0,881.6425318973613,BUY
2023-04-24,AAPL,50.0,469.4900503871553,SELL
2007-02-06,MSFT,50.0,158.6575391318102,SELL
2017-03-06,MSFT,10.0,453.1778172311366,SELL
2009-02-17,AAPL,50.0,847.2522611561685,SELL
2020-02-19,MSFT,100.0,931.1743046274764,BUY
2006-01-04,GOOGL,100.0,950.2313129859264,BUY
2016-11-25,GOOGL,10.0,143.06390607550202,SELL
2017-04-03,AAPL,100.0,804.5966122789695,SELL
2013-08-15,AAPL,10.0,134.508137471393,SELL
2009-06-02,MSFT,25.0,469.4900503871553,SELL
2006-10-24,GOOGL,10.0,214.16244799432383,SELL
2012-04-17,GOOGL,10.0,1370.5049912098395,BUY
2020-11-26,AAPL,100.0,404.98695590343385,BUY
2004-12-22,GOOGL,25.0,930.8226970812324,SELL
2009-09-08,GOOGL,50.0,1038.1476580225103,BUY
2022-08-05,AAPL,50.0,668.0647738535729,BUY
2008-10-22,AAPL,50.0,1370.5049912098395,SELL
2023-12-20,GOOGL,100.0,186.97707567858555,SELL
2014-02-12,MSFT,25.0,950.2313129859264,SELL
2023-06-08,GOOGL,10.0,1169.6754410803278,SELL
2010-01-04,AAPL,10.0,453.1778172311366,BUY
2005-07-15,MSFT,50.0,228.368877092048,BUY
2010-10-25,AAPL,25.0,134.508137471393,BUY
2010-03-01,AAPL,100.0,1287.615078660282,BUY
2023-05-08,GOOGL,25.0,881.6425318973613,BUY
2018-07-11,GOOGL,10.0,824.1571029472392,SELL
2007-06-07,AAPL,10.0,1405.5392431869848,BUY
2008-02-21,GOOGL,50.0,607.8358483226,BUY
2019-04-11,MSFT,25.0,689.9943531209287,SELL
2015-09-01,MSFT,100.0,1090.8937059872794,BUY
2005-06-09,AAPL,10.0,1427.0833933513245,SELL
2020-03-19,AAPL,100.0,804.5966122789695,BUY
2001-10-12,GOOGL,50.0,1291.844776074836,BUY
2008-01-31,MSFT,10.0,1090.8937059872794,SELL
2015-03-02,MSFT,25.0,448.4842216703452,SELL
2002-11-06,GOOGL,25.0,300.1234993455949,SELL
2014-01-15,GOOGL,50.0,1441.118817521367,BUY
2024-10-11,GOOGL,100.0,1090.8937059872794,SELL
2021-06-22,AAPL,50.0,1237.63155540647,BUY
2016-06-28,GOOGL,10.0,1237.63155540647,SELL
2023-08-17,GOOGL,100.0,96.5891278330169,BUY
2017-04-27,MSFT,100.0,1075.564040749409,SELL
2004-07-29,GOOGL,25.0,1050.7694626054115,SELL
2005-09-08,GOOGL,10.0,333.99689090145625,SELL
2014-02-12,GOOGL,25.0,931.8194496740128,BUY
2004-04-14,GOOGL,10.0,1276.064015004278,BUY
2014-03-07,AAPL,10.0,1405.5392431869848,SELL
2023-01-24,GOOGL,25.0,1090.8937059872794,SELL
2005-03-22,GOOGL,25.0,1471.5373890775506,SELL
2011-08-08,MSFT,50.0,1276.157060595703,SELL
2020-01-30,AAPL,25.0,689.9943531209287,BUY
2018-07-18,MSFT,25.0,1050.7694626054115,BUY
2005-04-25,MSFT,100.0,1038.1476580225103,SELL
