Trade_Date,Stock,Quantity,Price,Trade_Type
2005-06-07,GOOGL,25,296.1332229764703,SELL
2008-03-10,GOOGL,50,1287.615078660282,SELL
2020-11-17,AAPL,10,237.3399083632746,
2024-04-22,AAPL,-10,143.06390607550202,SELL
2021-08-25,AAPL,10,1291.844776074836,BUY
2024-07-31,AAPL,-10,300.12349934559495,BUY
2013-03-13,MSFT,10,847.886192667285,BUY
2007-08-02,MSFT,100,469.4900503871553,
2008-11-07,AAPL,10,422.99872929682306,BUY
2003-09-09,GOOGL,10,144.98569050777004,SELL
2006-05-09,MSFT,50,1287.615078660282,SELL
2014-04-17,MSFT,,722.6341108296252,SELL
2023-07-12,GOOGL,-10,333.96179497891234,BUY
2017-08-22,MSFT,25,974.2747358037313,
2013-11-11,GOOGL,50,1370.5049912098395,BUY
2001-01-23,GOOGL,25,881.6425318973613,SELL
2002-05-22,AAPL,50,469.4900503871553,SELL
2000-03-08,GOOGL,-10,950.2313129859263,BUY
2008-12-17,AAPL,100,158.6575391318102,SELL
2003-12-17,MSFT,25,214.16244799432383,BUY
2012-11-12,MSFT,100,158.6575391318102,
2007-12-07,AAPL,10,1405.5392431869848,
2011-04-13,GOOGL,25,186.97707567858555,BUY
2013-03-28,GOOGL,50,231.3402849466228,SELL
2004-03-05,MSFT,25,991.9630669125175,BUY
2021-10-22,AAPL,50,770.3708765006643,BUY
2005-11-08,MSFT,10,300.12349934559495,BUY
2016-07-08,MSFT,,173.2066279332344,SELL
2005-01-03,GOOGL,-10,1113.309506043852,BUY
2007-01-16,AAPL,50,1418.1099559483628,SELL
2007-11-02,GOOGL,25,1405.5392431869848,SELL
2021-09-30,GOOGL,10,930.8226970812324,SELL
2003-02-18,GOOGL,,228.36887709204802,SELL
2012-07-20,AAPL,10,126.19736282569397,
2011-02-17,MSFT,10,974.2747358037313,
2006-01-03,AAPL,,1471.5373890775506,BUY
2010-06-03,MSFT,100,126.19736282569397,BUY
2012-09-05,GOOGL,50,1276.064015004278,SELL
2021-10-01,AAPL,50,158.6575391318102,SELL
2008-09-09,MSFT,-10,453.1778172311366,BUY
2013-08-29,AAPL,-10,231.3402849466228,SELL
2004-10-06,GOOGL,10,770.3708765006643,BUY
2003-12-12,AAPL,,300.12349934559495,BUY
2015-04-02,GOOGL,-10,435.9958273632371,
2024-02-26,GOOGL,10,1169.6754410803278,BUY
2015-01-28,AAPL,25,1427.0833933513243,SELL
2005-02-24,GOOGL,100,881.6425318973613,BUY
2012-10-19,MSFT,100,847.886192667285,
2012-08-06,AAPL,,593.6157877532188,
2000-07-14,GOOGL,100,228.36887709204802,SELL
2014-12-09,AAPL,,296.1332229764703,SELL
2018-11-19,AAPL,50,1237.63155540647,SELL
2020-09-08,MSFT,25,243.57707337832,SELL
2024-05-27,MSFT,25,1038.1476580225105,SELL
2023-06-14,AAPL,-10,243.57707337832,SELL
2020-09-28,MSFT,,593.6157877532188,BUY
2022-10-25,AAPL,50,1148.487264612295,SELL
2010-01-21,MSFT,50,404.98695590343385,BUY
2000-02-01,MSFT,50,668.0647738535729,BUY
2011-07-06,GOOGL,50,1423.7979660389822,
2022-09-06,GOOGL,10,860.2698092253605,
2022-09-12,MSFT,10,1418.1099559483628,BUY
2005-06-06,GOOGL,100,453.1778172311366,BUY
2005-03-30,MSFT,,824.1571029472392,SELL
2008-10-29,GOOGL,10,1038.1476580225105,SELL
2015-12-14,AAPL,25,1342.6989918266363,SELL
2004-02-20,MSFT,50,160.29830748547027,SELL
2014-01-02,MSFT,,847.886192667285,
